movie,solicitations
elephant - 2003,Can you name a film directed by Gus Van Sant that takes place in a high school?
elephant - 2003,"What's a drama focusing on the daily lives of teenagers, directed by an American filmmaker?"
in therapy - 2009,Which movie directed by José Alvarenga Jr. revolves around a woman named Mercedes and her experiences with her psychoanalyst?
in therapy - 2009,In which film does a woman navigate her life changes during three years of psychoanalysis?
in therapy - 2009,Can you name a Brazilian movie that explores themes of psychological introspection and personal transformation?
escape room - 2019,What movie involves strangers playing a life-threatening escape game?
escape room - 2019,Which film's plot includes participants receiving mysterious black boxes?
escape room - 2019,Can you name a movie directed by Adam Robitel that involves escape rooms?
the exorcist - 1973,What horror film involves a demonic possession that profoundly affects a family?
the exorcist - 1973,Can you name the movie in which a priest struggles with his faith amidst a supernatural crisis?
the exorcist - 1973,"What's a film set in Washington, D.C., about a young girl's terrifying transformation?"
swallow - 2019,What's a recent movie directed by Carlo Mirabella-Davis?
swallow - 2019,Can you name a movie about a character dealing with a compulsive eating disorder?
swallow - 2019,"I'm looking for a drama that touches on themes of domestic struggle and conformity, what should I watch?"
carta para além dos muros - 2019,What is a Brazilian documentary about the history of the AIDS epidemic?
carta para além dos muros - 2019,Which movie documents the AIDS crisis through interviews with specialists and activists?
carta para além dos muros - 2019,What film did André Canto direct that covers a significant health crisis in Brazil?
host - 2020,What is a British horror movie involving a seance gone wrong during a video call?
host - 2020,Which film tells the story of friends facing an evil spirit during a lockdown Zoom session?
host - 2020,What's a movie about a virtual medium session that turns into a night of terror?
the woman - 2011,What movie was directed by Lucky McKee?
the woman - 2011,Which film features a plot involving a woman raised by wolves and captured by a misogynistic lawyer?
the woman - 2011,Can you name a horror film that explores themes of male supremacy and retaliation against it?
batman v superman: dawn of justice - 2016,What movie involves a conflict between two iconic superheroes amidst public concern?
batman v superman: dawn of justice - 2016,Can you name a film directed by Zack Snyder that features both Batman and Superman?
batman v superman: dawn of justice - 2016,In which movie does Lex Luthor attempt to manipulate situations against the Man of Steel?
searching - 2018,Which movie involves a father searching his daughter's digital footprints to find her?
searching - 2018,What film was directed by Aneesh Chaganty and involves a local investigation?
searching - 2018,Can you name a thriller that takes place across technology devices and deals with a missing person case?
the batman - 2022,Which film directed by Matt Reeves involves a serial killer targeting political figures?
the batman - 2022,What's the movie where a superhero investigates corruption in Gotham?
the batman - 2022,Name a recent movie set in the United States featuring political intrigue and a masked detective.
"basic sanitation, the movie - 2007",What movie involves a small community in Brazil attempting to solve sanitation issues?
"basic sanitation, the movie - 2007",Which film is directed by Jorge Furtado?
"basic sanitation, the movie - 2007",Can you name a movie that deals with environmental issues in a comedic yet thought-provoking way?
legally blonde - 2001,What film did Robert Luketic direct that involves a journey to Harvard Law School?
legally blonde - 2001,Can you name a movie where a sorority president follows her boyfriend to law school?
legally blonde - 2001,Which movie features a protagonist who challenges stereotypes about blondes while at Harvard?
scream - 1996,What horror film by Wes Craven revolves around mysterious phone calls?
scream - 1996,Can you name a movie where a serial killer quizzes victims about their favorite scary movie?
scream - 1996,Which film takes place in Woodsboro and involves a ghostly masked murderer?
mary shelley - 2017,What movie is directed by Haifaa al-Mansour?
mary shelley - 2017,Which film involves a character writing a novel about resurrecting the dead?
mary shelley - 2017,I'm looking for a movie that explores a historical romance in the early 1800s. What would you recommend?
villains - 2019,What movie directed by Dan Berk and Robert Olsen involves amateur criminals?
villains - 2019,Which film features amateur criminals discovering a dark secret that the homeowners want to keep hidden?
villains - 2019,Can you name a Canadian movie with a dark and mysterious plot involving a suburban home?
scream 2 - 1997,What is the sequel to a movie with a college setting and a masked killer on the loose?
scream 2 - 1997,What's the movie following up on a slasher film about college students?
scream 2 - 1997,Can you name a thriller that follows characters Sidney and Randy dealing with a new series of murders?
scream 3 - 2000,What's the movie about a deadly film production that draws in a reporter and an ex-cop?
scream 3 - 2000,What's the movie where a killer disrupts a film production and anything can happen in the trilogy?
scream 3 - 2000,Can you name a horror movie that involves a new film being made and a trilogy theme?
rosemary's baby - 1968,Can you name a classic horror movie directed by Roman Polanski?
rosemary's baby - 1968,What film involves a young couple moving into a New York building with a sinister past?
rosemary's baby - 1968,What's a movie about a pregnant woman who becomes suspicious of a conspiracy involving her husband and neighbors?
bingo: the king of the mornings - 2017,What film explores the struggles of an actor behind a clown persona?
bingo: the king of the mornings - 2017,Which movie directed by Daniel Rezende highlights the conflict between personal ambition and family relationships?
bingo: the king of the mornings - 2017,What is a film based on a true story that reflects the chaotic world of Brazilian television in the 1980s?
fargo - 1996,What film features a botched kidnapping and a pregnant sheriff trying to solve multiple murders?
fargo - 1996,Which movie directed by the Coen brothers revolves around a car dealership and financial troubles?
fargo - 1996,"Can you tell me a film that combines crime, drama, and dark comedy set in the United States and the United Kingdom?"
incident in a ghostland - 2018,What's a horror movie directed by Pascal Laugier?
incident in a ghostland - 2018,Can you name a film where a family inherits a house only for horrific events to unfold?
incident in a ghostland - 2018,What's a movie that explores sibling trauma and their diverging paths after a violent incident?
ron's gone wrong - 2021,What movie features a socially awkward middle-schooler and his malfunctioning robot?
ron's gone wrong - 2021,Can you name a film directed by Sarah Smith that involves a digital device and friendship?
ron's gone wrong - 2021,I'm curious about an animated movie involving social media and an action-packed adventure. What is it?
sound of metal - 2019,Can you name a movie directed by Darius Marder featuring a musician?
sound of metal - 2019,What film explores a musician's journey into a deaf community?
sound of metal - 2019,What's a movie about a metal drummer who has to come to terms with his hearing loss?
30 minutes or less - 2011,Which movie features a pizza delivery boy forced into a bank heist?
30 minutes or less - 2011,What's a film directed by Ruben Fleischer that involves an explosive plot?
30 minutes or less - 2011,Can you name a comedy where two friends plan to open a massage parlor with rather unconventional methods?
the art of self-defense - 2019,What's a movie that explores themes of self-discovery and masculinity through martial arts?
the art of self-defense - 2019,Can you name a film directed by Riley Stearns that involves a character transforming after joining a karate class?
the art of self-defense - 2019,Which movie features a plot about an accountant joining a karate dojo to boost his confidence after being attacked?
misery - 1990,What movie features a novelist trapped by a fan in a snowy setting?
misery - 1990,Which movie did Rob Reiner direct about a writer's harrowing experience with an obsessive fan?
misery - 1990,Can you name a psychological thriller involving a terrifying encounter with a fan?
scent of a woman - 1992,What movie features a blind retired military officer as a main character?
scent of a woman - 1992,Can you name a film directed by Martin Brest that involves a trip to New York?
scent of a woman - 1992,Which movie involves a student earning money over Thanksgiving by taking care of someone?
"legally blonde 2: red, white & blonde - 2003","What's that film about a passionate advocate for animal rights in Washington, D.C.?"
"legally blonde 2: red, white & blonde - 2003",Can you name a movie where the protagonist puts her wedding plans on hold to focus on activism?
"legally blonde 2: red, white & blonde - 2003",What's a film that mixes comedy with themes of political advocacy and has something to do with a determined female lawyer?
the way way back - 2013,What film did Nat Faxon and Jim Rash direct together?
the way way back - 2013,Can you name a movie where a shy kid finds confidence working at a water park?
the way way back - 2013,Which movie features a storyline about a teenage boy growing during a summer vacation at a beach house?
the tale - 2018,What film examines the complexities of memory and past relationships through the lens of a woman's coming-of-age tale?
the tale - 2018,Can you tell me the movie directed by Jennifer Fox that involves a profound re-examination of a past relationship?
the tale - 2018,Which movie combines an introspective narrative with the exploration of a woman's childhood summer experiences?
my left foot - 1989,Which film features a protagonist who overcomes cerebral palsy to become an artist?
my left foot - 1989,Can you suggest a movie directed by Jim Sheridan?
my left foot - 1989,What movie tells the story of a gifted individual navigating life with a disability in an Irish setting?
everything everywhere all at once - 2022,What film features a middle-aged immigrant discovering multiple universes?
everything everywhere all at once - 2022,Which movie was directed by the duo known for their unique storytelling style?
everything everywhere all at once - 2022,Can you name a movie that combines action and sci-fi elements with a focus on existential themes?
maids - 2001,What is a Brazilian film that gives an episodic depiction of the lives of maids in São Paulo?
maids - 2001,Can you name a movie that explores the personal longings and challenges of five female protagonists in a big city?
maids - 2001,What movie did Fernando Meirelles and Nando Olival collaborate on as directors that explores social and personal themes?
the orphanage - 2007,What film involves a woman returning to her childhood home that once served as an orphanage?
the orphanage - 2007,Which movie is directed by J.A. Bayona and has elements of supernatural mystery?
the orphanage - 2007,In which film does a woman encounter mysterious occurrences while her adopted son vanishes in their home?
perfect blue - 1997,What is a famous psychological thriller anime movie directed by Satoshi Kon?
perfect blue - 1997,Can you name a Japanese film that explores themes of identity and fame involving a former pop idol?
perfect blue - 1997,I'm curious about a movie where an idol-turned-actress faces a psychological breakdown. What is it called?
durval discos - 2002,What Brazilian film features a plot centered around a record store and a mysterious child?
durval discos - 2002,Which movie directed by Anna Muylaert involves a story about a 5-year-old child left behind?
durval discos - 2002,Can you name a film set in São Paulo that explores changes in a monotonous life due to unexpected events?
the black phone - 2021,What is the name of the horror movie directed by Scott Derrickson?
the black phone - 2021,Which film involves a boy who can communicate with the dead through a disconnected phone?
the black phone - 2021,Can you tell me the title of the movie where a 13-year-old boy must outsmart a sadistic abductor?
chicago - 2002,Which musical film directed by Rob Marshall involves crime and jazz in 1920s America?
chicago - 2002,Can you name the movie where two women on death row compete for fame to escape execution?
chicago - 2002,What's a film adaptation featuring a singer who kills her husband and sister?
beyond the infinite two minutes - 2020,What's a movie directed by Yamaguchi that involves time?
beyond the infinite two minutes - 2020,Can you name a film where a cafe owner receives messages from himself?
beyond the infinite two minutes - 2020,Which Japanese movie explores a cafe screen that shows the future and involves gangsters?
hedwig and the angry inch - 2001,What movie features a gender-queer punk-rock singer traveling the U.S.?
hedwig and the angry inch - 2001,Can you name a film directed by John Cameron Mitchell?
hedwig and the angry inch - 2001,Which film tells a story about following a former lover who stole songs?
promising young woman - 2020,What is a new movie directed by Emerald Fennell?
promising young woman - 2020,Which movie involves a character who seeks revenge by confronting predators in bars and clubs?
promising young woman - 2020,What is the movie where the main character is a medical school dropout dealing with a traumatic past?
man on the moon - 1999,What film directed by Milos Forman explores the life of a controversial comedian?
man on the moon - 1999,Can you name a movie where the main character famously engages in intergender wrestling?
man on the moon - 1999,Which film features a wrestling feud with Jerry Lawler and a comedian?
the lodge - 2019,What is a new horror movie about a soon-to-be-stepmom trapped in a snowed-in lodge?
the lodge - 2019,Which movie is directed by Severin Fiala and Veronika Franz?
the lodge - 2019,I'm looking for a thriller involving psychological themes linked to religious upbringing. What's a recent release fitting that description?
candyman - 2021,What horror movie directed by Nia DaCosta explores themes of gentrification and urban legends?
candyman - 2021,Which film involves an artist encountering a terrifying legend after moving to a gentrified area?
candyman - 2021,Can you name a movie that involves a disturbing story discovered during an artist's chance encounter with an old-timer?
don't call me son - 2016,What film directed by Anna Muylaert involves a dramatic change for a teenager after a family secret is uncovered?
don't call me son - 2016,"Can you name a Brazilian movie where a teenager juggles puberty, music, and a significant identity revelation?"
don't call me son - 2016,What's the movie where a teenager secretly explores gender identity while facing a profound family discovery?
get duked! - 2019,What's a movie directed by Ninian Doff that involves a survival trek?
get duked! - 2019,Can you recommend a comedy-thriller involving teenagers in the UK?
get duked! - 2019,Is there a film where wealthy aristocrats hunt teenagers in the highlands?
the year my parents went on vacation - 2006,Can you tell me the name of a movie set around the 1970 World Cup in Brazil?
the year my parents went on vacation - 2006,What is the film directed by Cao Hamburger that features a boy dealing with his parents' sudden departure?
the year my parents went on vacation - 2006,Do you know the movie where a ten-year-old is left alone in a Jewish neighborhood in São Paulo?
wild tales - 2014,What movie features a series of stories blending dark comedy and revenge?
wild tales - 2014,Which film directed by Damián Szifron received praise for its portrayal of human behavior in extreme situations?
wild tales - 2014,Can you name a movie where characters find unexpected connections on a plane?
lisbela and the prisoner - 2003,What's a Brazilian movie directed by Guel Arraes?
lisbela and the prisoner - 2003,Which movie features a con man falling for a woman engaged to someone else?
lisbela and the prisoner - 2003,Can you name a film where a character is pursued by a hitman after having an affair with his wife?
pixote - 1980,What is a movie with a young boy facing harsh realities in Brazil?
pixote - 1980,"Which film, directed by Hector Babenco, features the struggles of street kids?"
pixote - 1980,Can you name a movie with a dark and gritty plot involving youth detention centers?
queen & slim - 2019,What film explores the consequences of a tragic encounter during a first date?
queen & slim - 2019,Can you recommend a movie directed by a female filmmaker that tackles themes of injustice and identity?
queen & slim - 2019,Which movie depicts a couple on the run after a life-altering traffic stop?
october sky - 1999,What movie was directed by Joe Johnston and involves a young boy's fascination with rockets?
october sky - 1999,Can you name a movie where a kid's ambition to build rockets changes his future in a 1950s mining town?
october sky - 1999,Is there a film about a group of friends in the 1950s whose passion for science is sparked by the launch of Sputnik?
"three billboards outside ebbing, missouri - 2017",What is a recent darkly comic drama directed by Martin McDonagh?
"three billboards outside ebbing, missouri - 2017",Can you tell me the name of a movie involving a mother seeking justice through a provocative act involving billboards?
"three billboards outside ebbing, missouri - 2017",What's the name of the film where Frances McDormand plays a character clashing with the police chief in a small town setting?
barbarian - 2022,What is a thriller that involves an Airbnb with dark secrets?
barbarian - 2022,Can you name a horror film directed by Zach Cregger?
barbarian - 2022,Is there a suspenseful movie that plays with the idea of trust in unexpected places?
embrace of the serpent - 2015,What's a movie directed by Ciro Guerra that explores indigenous cultures in the Amazon?
embrace of the serpent - 2015,Can you name a film where two scientists search the Amazon over several decades for a sacred plant?
embrace of the serpent - 2015,What's a movie that tells the story of an Amazonian shaman who's the last of his people?
the menu - 2022,What recent movie involves a shocking dining experience on a remote island?
the menu - 2022,Which film directed by Mark Mylod features a luxurious yet unsettling dinner?
the menu - 2022,Can you name a movie where a young couple's visit to an exclusive restaurant takes an unexpected turn?
the spectacular now - 2013,What's a movie directed by James Ponsoldt?
the spectacular now - 2013,Can you name a film about a high school senior who lives in the moment and gets tangled up with a 'nice girl'?
the spectacular now - 2013,I'm looking for a movie that explores teenage life and relationships with a hint of coming-of-age drama. Any recommendations?
starship troopers - 1997,What is a movie directed by Paul Verhoeven involving an intergalactic conflict?
starship troopers - 1997,Can you name a film where humans battle alien insects to secure their safety?
starship troopers - 1997,What's a sci-fi movie from the United States with a military theme involving high school kids in the future?
dolores claiborne - 1995,What movie was directed by Taylor Hackford that involves a journalist returning to her hometown?
dolores claiborne - 1995,Which film features a complex relationship between a mother and daughter amid a murder investigation?
dolores claiborne - 1995,Can you name the movie set on a small island in Maine about uncovering buried family secrets?
irreversible - 2002,What film directed by Gaspar Noé involves a plot about seeking justice for a horrific event?
irreversible - 2002,Can you name a French movie that created controversy at the Cannes Film Festival in 2002?
irreversible - 2002,Which movie features a narrative that was originally presented in reverse order but has a version with chronological storytelling?
natural born killers - 1994,What's a film about a controversial couple that turns into media sensation during their killing spree?
natural born killers - 1994,Can you name another film directed by Oliver Stone?
natural born killers - 1994,What movie involves a road trip spurred by violence and characterized by stylized storytelling?
almost famous - 2000,What movie features a teenage aspiring rock journalist embarking on a life-changing tour with a band?
almost famous - 2000,Can you name a film directed by Cameron Crowe that captures the essence of the early 1970s rock scene?
almost famous - 2000,Which movie explores the backstage dynamics of a fictional band called Stillwater?
"ó pai, ó: look at this - 2007",Which recent films directed by Monique Gardenberg capture the vibrancy of Brazilian culture?
"ó pai, ó: look at this - 2007",Can you suggest a movie that explores the lives of people during Carnival in Brazil with a touch of humor and music?
"ó pai, ó: look at this - 2007","I'm curious about films that involve characters living in a tenement house in Salvador, Bahia; can you recommend one that mixes creativity and irony?"
a fish called wanda - 1988,"What film involves a diamond heist planned by a seductive woman, her lover, and her associates in London?"
a fish called wanda - 1988,"Which movie features a unique blend of comedy and crime directed by Charles Crichton, with John Cleese as a co-director?"
a fish called wanda - 1988,Can you tell me the title of the film where a character uses speaking Italian as a tool of seduction amidst a plot filled with double-crosses?
the hunt - 2020,Can you tell me the name of a movie directed by Craig Zobel?
the hunt - 2020,What is a recent film involving a dark internet conspiracy theory?
the hunt - 2020,Which movie features a plot about elitists hunting humans for sport?
bodies bodies bodies - 2022,What is a movie where a hurricane party turns dangerous?
bodies bodies bodies - 2022,Can you name a film directed by Halina Reijn?
bodies bodies bodies - 2022,Which movie involves a deadly game among wealthy young adults?
dial m for murder - 1954,What's a classic thriller directed by Alfred Hitchcock?
dial m for murder - 1954,What's a film about a murder plot involving a love affair?
dial m for murder - 1954,Can you name a movie where a retired tennis player plans the perfect crime?
a dog's will - 2000,What is a Brazilian film directed by Guel Arraes?
a dog's will - 2000,Can you name a movie where two poor clever characters trick people to survive?
a dog's will - 2000,Which movie involves characters that encounter an outlaw after meeting a wealthy woman?
scream vi - 2023,What film has a plot involving survivors of a killer following them to New York City?
scream vi - 2023,Which movie did Matt Bettinelli-Olpin and Tyler Gillett direct together in 2023?
scream vi - 2023,Can you name a horror film that involves elements of a slasher genre released recently?
under the shadow - 2016,What's a horror movie set during the Iran-Iraq war?
under the shadow - 2016,Can you name a film directed by Babak Anvari?
under the shadow - 2016,What's the film where a mother and daughter stay in an apartment during air raids in the 80s?
soft & quiet - 2022,Can you tell me a thriller that unfolds in real time?
soft & quiet - 2022,What movie involves a teacher organizing a mixer that leads to unexpected confrontations?
soft & quiet - 2022,Which film is directed by Beth de Araújo?
emergency - 2022,What movie features college students hesitant to call the police during a wild night?
emergency - 2022,Which film directed by Carey Williams explores a tense situation faced by three students?
emergency - 2022,Can you name a thriller involving a dilemma during a night of partying?
vacancy - 2007,What is a movie where guests are filmed for slasher films by hidden cameras at a motel?
vacancy - 2007,Could you tell me which movie involves a couple trying to escape after discovering they are being filmed for a mysterious filmmaker's next cult classic?
vacancy - 2007,Name a film directed by Nimród Antal that involves a plot around being trapped in a motel.
the people under the stairs - 1991,What's the name of a movie directed by the person who also directed A Nightmare on Elm Street?
the people under the stairs - 1991,Can you identify a film where a boy gets trapped in a house and uncovers hidden 'children' beneath the staircase?
the people under the stairs - 1991,Which movie has a mix of horror and social commentary about landlords and their tenants?
climax - 2018,What film by Gaspar Noé involves urban dancers and a mysterious madness?
climax - 2018,Can you name a movie where a dance rehearsal turns into chaos due to drugging?
climax - 2018,What's a film set in the 1990s featuring French dancers and directed by Gaspar Noé?
elena - 2012,What is a movie directed by Petra Costa that intertwines personal history with artistic aspiration?
elena - 2012,"Can you name a film where the plot involves a journey to New York in pursuit of an acting dream, connecting two sisters across time?"
elena - 2012,What film delves into themes of searching for a lost sibling and dealing with past political trauma?
o homem que virou suco - 1980,What movie features a plot about mistaken identity involving a folk poet in São Paulo?
o homem que virou suco - 1980,Can you name a Brazilian film directed by João Batista de Andrade?
o homem que virou suco - 1980,Which movie involves a police mix-up with a singer and a crime in Brazil?
mafia mamma - 2023,What's that film where an American mom takes over a mafia empire in Italy?
mafia mamma - 2023,Can you name a movie directed by Catherine Hardwicke featuring a humorous mafia storyline?
mafia mamma - 2023,Is there a film that blends comedy with a mafia plot involving an unexpected leader?
dracula - 1992,What is a movie from the 90s that explores themes of horror and the supernatural?
dracula - 1992,Can you suggest a movie that involves a battle against a charismatic antagonist from folklore?
dracula - 1992,"Which film showcases the directorial style of a well-known American filmmaker, while also adapting a classic literary work?"
the devil all the time - 2020,What film has Antonio Campos directed?
the devil all the time - 2020,"Can you name a movie that's set in rural Southern Ohio and West Virginia, following the lives of bizarre characters?"
the devil all the time - 2020,What movie involves a husband-and-wife team of serial killers who troll America's highways?
tear along the dotted line - 2021,What is the name of the Italian movie featuring a cartoonist on a reflective journey with an unusual talking animal?
tear along the dotted line - 2021,Can you tell me a movie where friends travel outside Rome and one has an armadillo companion?
tear along the dotted line - 2021,Which movie has a unique storyline involving an artist contemplating life in Italy?
cha cha real smooth - 2022,What's a movie that's about a guy forming an unexpected friendship while working as an event host?
cha cha real smooth - 2022,Can you tell me the name of a film directed by Cooper Raiff?
cha cha real smooth - 2022,"I'm looking for a movie from the United States with themes involving a mother, her autistic daughter, and a young party host."
sorry to bother you - 2018,What's a film about a telemarketer's ethical dilemmas with a surreal twist?
sorry to bother you - 2018,Can you name a movie directed by Boots Riley?
sorry to bother you - 2018,Which movie features a plot with a blend of socioeconomic commentary and dystopian elements?
the handmaiden - 2016,"What movie involves a pickpocket, a swindler, and unexpected emotions during the 1930s in Korea?"
the handmaiden - 2016,Can you name a film directed by Park Chan-wook?
the handmaiden - 2016,Is there a movie set in 1930s Korea that explores themes of trickery and romance?
the golden dream - 2013,What is a movie directed by Diego Quemada-Díez?
the golden dream - 2013,Can you name a film that follows teenagers from Guatemala on a journey to the United States?
the golden dream - 2013,What movie involves characters traveling on freight trains in search of a better life?
this world can't tear me down - 2023,What's a recent Italian movie about helping an old friend reintegrate into a community?
this world can't tear me down - 2023,Can you name a film where the director is not mentioned but involves themes of friendship and societal reintegration?
this world can't tear me down - 2023,What's a movie that looks into the complexities of friendship when an old friend comes back into town?
mad max: fury road - 2015,What is a movie directed by the creator of Babe: Pig in the City?
mad max: fury road - 2015,What is a film about survival in a post-apocalyptic desert?
mad max: fury road - 2015,Can you name a movie that depicts a harsh world where rebels fight for survival?
maria full of grace - 2004,Can you suggest a gripping drama about a young woman's struggle navigating difficult choices in life?
maria full of grace - 2004,What's a movie that creatively explores themes of desperation and hope through intense storytelling?
maria full of grace - 2004,Which film directed by Joshua Marston is set in South America and involves intense personal challenges?
afflicted - 2013,What is a movie directed by Derek Lee and Clif Prowse?
afflicted - 2013,Can you name a film where best friends face a mysterious affliction during a trip?
afflicted - 2013,What is a film that combines travel adventure in Europe with a dark twist?
the father - 2020,What's a 2020 film that deals with the challenges of dementia?
the father - 2020,Which recent movie did Florian Zeller direct that involves a man struggling with his perception of reality?
the father - 2020,Can you name a film known for showcasing a deeply emotional story about an elderly person's mental decline?
when harry met sally... - 1989,What movie explores the theme of friendship between a man and a woman and whether it can remain platonic?
when harry met sally... - 1989,"If I loved the directorial style of a film by Rob Reiner, what should I watch?"
when harry met sally... - 1989,What film involves repeated chance encounters between two characters seeking love in New York?
barbie - 2023,What movie features Greta Gerwig as the director in a fantastical narrative?
barbie - 2023,Can you name a film that showcases the adventures of iconic dolls in a perfect world and the challenges they face outside?
barbie - 2023,"What's a recent movie that blends themes of fantasy and exploration, led by a female director?"
rrr - 2022,What Indian movie directed by S.S. Rajamouli involves a clash between an Indian cop and a tribal leader?
rrr - 2022,Which film features a small tribal girl being taken by a British governor during the colonial period in India?
rrr - 2022,Can you name the movie set in the British era involving a friendship formed during a rescue on a lake?
the departed - 2006,What crime-action film features an undercover cop infiltrating the mob and a mole in the police?
the departed - 2006,Which movie directed by Martin Scorsese explores the dangerous double lives of an undercover cop and a mob informer?
the departed - 2006,Can you name a film where the South Boston State Police wage war on Irish-American organized crime?
but i'm a cheerleader - 1999,What's a movie directed by Jamie Babbit?
but i'm a cheerleader - 1999,Can you name a film that involves a camp intended to change a character's sexual orientation?
but i'm a cheerleader - 1999,I heard about a comedy that explores themes of sexuality and personal identity in a satirical manner. What is it?
train to busan - 2016,What's a well-known South Korean zombie movie?
train to busan - 2016,Can you name a film where people are trapped on a train during a zombie apocalypse?
train to busan - 2016,Which film was directed by Yeon Sang-ho involving a journey from Seoul to Busan?
amores perros - 2000,What film involves three intertwined stories affected by a car accident in Mexico City?
amores perros - 2000,Can you name a film directed by Alejandro G. Iñárritu?
amores perros - 2000,Which movie features a rebellious adolescent involved in dog fighting and a supermodel losing her dog?
my life without me - 2003,Could you suggest a movie by Isabel Coixet?
my life without me - 2003,What movie follows the story of a woman who keeps her terminal illness a secret?
my life without me - 2003,Name a drama film that is set in Canada.
bille - 2018,What's a movie about a child's perspective in Latvia in the late 1930s?
bille - 2018,Which film was directed by Ināra Kolmane?
bille - 2018,Can you name a movie that's a mix of hope and solemnity in its storytelling?
the hidden tiger - 2016,"What movie directed by Affonso Uchoa explores the lives of young dwellers in the suburbs of Contagem, Brazil?"
the hidden tiger - 2016,Which film follows the struggle of five young men trying to overcome their inner challenges and temptations?
the hidden tiger - 2016,"What movie blends crime, hope, work, and fun in a Brazilian suburban setting?"
babysitter - 2022,What’s that new movie with a plot involving someone losing his job due to a sexist joke?
babysitter - 2022,Can you tell me the latest film directed by Monia Chokri?
babysitter - 2022,What’s the movie about a therapeutic journey from sexism and misogyny?
aftersun - 2022,What is a movie where a father and daughter reflect on past holidays?
aftersun - 2022,Which film did Charlotte Wells direct that involves family memories?
aftersun - 2022,Can you name a drama that explores the relationship between a father and his daughter?
just mercy - 2019,What is a 2019 movie that involves a young lawyer battling for justice in Alabama?
just mercy - 2019,Can you name a film directed by Destin Daniel Cretton that tackles themes of legal injustice?
just mercy - 2019,I'm looking for a movie where a Harvard graduate chooses to defend the wrongly condemned over lucrative job opportunities.
enter the void - 2009,What film delves into the chaotic nightlife of Tokyo through the distorted perspective of a drug user?
enter the void - 2009,Can you name a movie where the afterlife is visually explored following a police shooting incident?
enter the void - 2009,What's a movie directed by Gaspar Noé that experiments with non-linear storytelling and colorful cinematography?
the internet's own boy: the story of aaron swartz - 2014,What is a documentary about a tech prodigy who played a key role in developing RSS and Reddit?
the internet's own boy: the story of aaron swartz - 2014,Which film tells the story of an information activist's fight for social justice and its tragic end?
the internet's own boy: the story of aaron swartz - 2014,What's the film about a young programming genius and advocate for internet freedom?
nimona - 2023,What movie involves a futuristic medieval world with a knight and a shapeshifting teen?
nimona - 2023,Can you tell me the name of the film directed by Nick Bruno and Troy Quane?
nimona - 2023,I'm curious about a movie where the main character is framed for a crime and needs help from a mischievous creature. What is it called?
the club - 2015,What is a movie directed by Pablo Larraín that's set in Chile?
the club - 2015,Can you name a film about a secluded group of priests dealing with their past sins?
the club - 2015,What's a movie that features a plot involving a newcomer disturbing a group's routine?
nosso sonho - 2023,What is a recent Brazilian film about the rise of a music duo?
nosso sonho - 2023,I'm interested in a film that explores the impact of funk music in Brazil; what is its title?
nosso sonho - 2023,What movie follows the journey of Claudinho and Buchecha in the music scene?
incendies - 2010,What movie is directed by Denis Villeneuve that involves a journey to the Middle East?
incendies - 2010,Can you name a film based on Wajdi Mouawad's play that explores deep-rooted hatred and war?
incendies - 2010,What's a Canadian-French film about twins uncovering their family's history and secrets?
north by northwest - 1959,What's that thrilling espionage movie where a man is mistaken for someone else and ends up at Mt. Rushmore?
north by northwest - 1959,Can you name a film by the legendary director known for suspense that involves an ad executive caught in a spy game?
north by northwest - 1959,I'm curious about a classic movie where a case of mistaken identity leads to adventure and suspense; what is it?
andhadhun - 2018,Can you tell me the name of a movie directed by Sriram Raghavan?
andhadhun - 2018,What is a movie where a blind pianist prepares for a London concert?
andhadhun - 2018,I'm looking for a film from India featuring a surprising twist involving a pianist. What is it called?
grave of the fireflies - 1988,What movie directed by Isao Takahata is about Japanese siblings during World War II?
grave of the fireflies - 1988,Can you name a Japanese film where the plot revolves around siblings struggling to survive in wartime?
grave of the fireflies - 1988,What's a film with a powerful story set during the last days of World War II in Japan?
whisper of the heart - 1995,What movie did Yoshifumi Kondô direct?
whisper of the heart - 1995,Can you name a film where a young girl learns about life and love through unexpected book coincidences?
whisper of the heart - 1995,"Is there a movie that features a boy aspiring to become a violin maker, inspired by his grandfather's profession?"
antônia - 2006,What's a movie directed by Tata Amaral?
antônia - 2006,Can you name a film where an all-female rap group faces challenges in Sao Paulo?
antônia - 2006,"What film highlights themes of overcoming sexism, racism, and violence in Brazil?"
wind river - 2017,What's a movie that delves into a team-up between an FBI agent and a game tracker?
wind river - 2017,What's the name of the film involving a murder investigation on an Indian reservation?
wind river - 2017,"Can you name a movie that blends elements of drama and thriller, exploring justice and personal pasts?"
the babadook - 2014,What horror movie involves a mother dealing with her son's fear of a monster?
the babadook - 2014,Can you name a thriller directed by Jennifer Kent?
the babadook - 2014,Which film explores the psychological effects of a mysterious book on a family?
oldboy - 2003,Can you tell me a movie directed by Park Chan-wook with a gripping plot about revenge?
oldboy - 2003,What's a South Korean thriller involving a man being confined for years before seeking vengeance?
oldboy - 2003,Which movie involves a character being imprisoned in a room without knowing why for over a decade?
coherence - 2013,What's the movie where a dinner party encounters strange occurrences due to a cosmic event?
coherence - 2013,Which film directed by James Ward Byrkit features reality-bending events at a gathering?
coherence - 2013,Can you name a movie that involves eight friends facing bizarre events during an astronomical anomaly?
rush - 2013,Which movie directed by Ron Howard features a famous Formula 1 rivalry?
